Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.973	703.478	25.527%	185.197	23.297%	0.07731	0.963
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.966	596.119	30.4%	149.174	26.393%	0.09465	0.953
EOC1022_pOme1_DNA1	884.8837764887545	0.825	491.064	55.495%	150.029	61.116%	0.30758	0.755
EOC1022_pPer1_DNA1	1358.826827879444	0.964	404.738	29.786%	104.027	28.069%	0.09006	0.949
EOC1067_pOme1_DNA3	1604.881423102248	0.976	440.554	27.451%	103.377	21.742%	0.0657	0.967
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.982	691.877	21.403%	196.098	19.633%	0.0444	0.977
EOC1067_pPerR1_DNA1	1501.7751190546387	0.987	323.227	21.523%	71.787	16.66%	0.06017	0.981
EOC1067_pTubL1_DNA1	2166.8040540479265	0.985	447.836	20.668%	107.954	17.222%	0.0497	0.98
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.965	908.082	29.303%	238.798	26.505%	0.08115	0.952
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.968	738.041	27.978%	196.983	25.249%	0.09541	0.956
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.986	826.53	18.712%	227.275	16.886%	0.03378	0.982
EOC124_pOvaR1_TR	4047.759470070756	0.987	702.568	17.357%	186.504	16.063%	0.02755	0.982
EOC133_pAsc1_DNA1	3492.8721079373286	0.992	530.959	15.201%	126.818	12.304%	0.03604	0.99
EOC133_pOme1_TR_DNA	3190.908324987377	0.991	532.691	16.694%	121.312	13.169%	0.03794	0.988
EOC133_pOvaL1_DNA1	3135.920383373419	0.992	492.91	15.718%	119.079	12.834%	0.03706	0.989
EOC148_pAdnL1_DNA1	7202.839296609127	0.988	1286.316	17.858%	320.198	15.188%	0.03548	0.984
EOC148_pAdnL3_DNA1	6768.848232060547	0.991	1120.667	16.556%	264.626	13.398%	0.03729	0.988
EOC148_pOvaL4_DNA1	5273.876693432245	0.981	955.753	18.122%	297.756	19.867%	0.04417	0.973
EOC148_pOvaL5_DNA1	6498.883349850876	0.992	951.336	14.638%	237.744	12.547%	0.0344	0.989
EOC192_iOme1B_DNA2	678.8515152418059	0.864	398.256	58.666%	108.015	50.76%	0.3688	0.819
