Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.957	901.561	32.715%	233.174	29.332%	0.09724	0.94
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.948	689.647	35.169%	181.074	32.036%	0.11879	0.928
EOC1022_pOme1_DNA1	884.8837764887545	0.806	520.164	58.783%	155.642	63.402%	0.34617	0.726
EOC1022_pPer1_DNA1	1358.826827879444	0.963	408.374	30.053%	104.565	28.214%	0.09609	0.949
EOC1067_pOme1_DNA3	1604.881423102248	0.972	483.784	30.145%	111.038	23.353%	0.08399	0.962
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.98	770.851	23.846%	204.166	20.441%	0.05155	0.975
EOC1067_pPerR1_DNA1	1501.7751190546387	0.97	455.171	30.309%	106.251	24.659%	0.10473	0.958
EOC1067_pTubL1_DNA1	2166.8040540479265	0.97	647.492	29.882%	153.51	24.49%	0.08217	0.958
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.95	995.389	32.121%	284.111	31.534%	0.0911	0.93
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.951	920.727	34.903%	240.491	30.826%	0.12107	0.933
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.974	1192.794	27.004%	310.082	23.038%	0.06009	0.965
EOC124_pOvaR1_TR	4047.759470070756	0.982	913.018	22.556%	222.722	19.182%	0.05222	0.974
EOC133_pAsc1_DNA1	3492.8721079373286	0.973	950.203	27.204%	238.296	23.119%	0.08515	0.963
EOC133_pOme1_TR_DNA	3190.908324987377	0.983	625.165	19.592%	169.733	18.425%	0.06428	0.976
EOC133_pOvaL1_DNA1	3135.920383373419	0.97	870.602	27.762%	223.876	24.129%	0.08545	0.96
EOC148_pAdnL1_DNA1	7202.839296609127	0.981	1706.265	23.689%	409.929	19.445%	0.06254	0.974
EOC148_pAdnL3_DNA1	6768.848232060547	0.984	1438.796	21.256%	355.624	18.005%	0.06124	0.977
EOC148_pOvaL4_DNA1	5273.876693432245	0.979	1171.528	22.214%	311.651	20.794%	0.05467	0.97
EOC148_pOvaL5_DNA1	6498.883349850876	0.985	1354.699	20.845%	321.854	16.986%	0.05788	0.98
