Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.994	370.469	13.443%	87.446	11.0%	0.02308	0.992
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	286.736	14.622%	63.96	11.316%	0.03438	0.991
EOC1022_pOme1_DNA1	884.8837764887545	0.975	225.047	25.432%	54.696	22.281%	0.06343	0.964
EOC1022_pPer1_DNA1	1358.826827879444	0.994	141.945	10.446%	39.304	10.605%	0.02345	0.992
EOC1067_pOme1_DNA3	1604.881423102248	0.988	331.271	20.641%	74.046	15.573%	0.0574	0.983
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.995	482.543	14.927%	102.925	10.305%	0.03588	0.993
EOC1067_pPerR1_DNA1	1501.7751190546387	0.993	209.253	13.934%	50.45	11.709%	0.03541	0.991
EOC1067_pTubL1_DNA1	2166.8040540479265	0.994	264.794	12.22%	68.697	10.959%	0.0222	0.992
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	361.704	11.672%	82.045	9.106%	0.0235	0.994
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.991	442.06	16.758%	104.528	13.398%	0.0364	0.988
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	399.756	9.05%	84.685	6.292%	0.01732	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	523.045	12.922%	127.326	10.966%	0.02491	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.998	277.772	7.953%	62.451	6.059%	0.01678	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	322.076	10.094%	74.634	8.102%	0.01996	0.996
EOC133_pOvaL1_DNA1	3135.920383373419	0.998	237.362	7.569%	53.56	5.773%	0.01767	0.998
EOC148_pAdnL1_DNA1	7202.839296609127	0.997	677.681	9.409%	166.012	7.875%	0.01443	0.996
EOC148_pAdnL3_DNA1	6768.848232060547	0.997	691.585	10.217%	159.36	8.068%	0.01826	0.996
EOC148_pOvaL4_DNA1	5273.876693432245	0.998	430.304	8.159%	103.317	6.893%	0.01222	0.997
EOC148_pOvaL5_DNA1	6498.883349850876	0.998	567.03	8.725%	132.501	6.993%	0.01414	0.997
EOC192_iOme1B_DNA2	678.8515152418059	0.986	130.294	19.193%	35.317	16.597%	0.05336	0.982
EOC192_iOme3A_DNA1	700.8106088235589	0.976	157.653	22.496%	48.181	21.758%	0.06441	0.969
EOC192_iOvaR1A_DNA1	959.0604771054909	0.995	125.434	13.079%	28.105	9.986%	0.03023	0.994
EOC192_pAsc1_DNA1	880.704633671309	0.993	120.141	13.641%	30.819	11.508%	0.03054	0.991
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.995	123.637	13.469%	27.754	10.144%	0.03064	0.994
