Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.973	705.307	25.593%	185.922	23.388%	0.07735	0.963
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.965	599.422	30.568%	149.843	26.511%	0.0944	0.952
EOC1022_pOme1_DNA1	884.8837764887545	0.824	491.128	55.502%	150.078	61.136%	0.30852	0.755
EOC1022_pPer1_DNA1	1358.826827879444	0.964	404.221	29.748%	103.812	28.011%	0.09012	0.949
EOC1067_pOme1_DNA3	1604.881423102248	0.976	440.324	27.437%	103.238	21.713%	0.06577	0.967
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.982	691.218	21.382%	196.086	19.632%	0.04424	0.977
EOC1067_pPerR1_DNA1	1501.7751190546387	0.987	323.056	21.512%	71.805	16.665%	0.06038	0.981
EOC1067_pTubL1_DNA1	2166.8040540479265	0.985	451.15	20.821%	108.623	17.329%	0.04985	0.979
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.965	909.537	29.35%	239.545	26.587%	0.08112	0.952
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.968	741.918	28.125%	197.608	25.329%	0.09573	0.956
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.986	830.2	18.795%	228.299	16.962%	0.03406	0.982
EOC124_pOvaR1_TR	4047.759470070756	0.987	701.989	17.343%	185.997	16.019%	0.02767	0.982
EOC133_pAsc1_DNA1	3492.8721079373286	0.992	531.028	15.203%	126.806	12.302%	0.03601	0.99
EOC133_pOme1_TR_DNA	3190.908324987377	0.991	531.805	16.666%	121.038	13.139%	0.038	0.988
EOC133_pOvaL1_DNA1	3135.920383373419	0.992	493.997	15.753%	119.172	12.844%	0.03693	0.989
EOC148_pAdnL1_DNA1	7202.839296609127	0.988	1287.456	17.874%	320.691	15.212%	0.03566	0.984
EOC148_pAdnL3_DNA1	6768.848232060547	0.991	1121.254	16.565%	265.311	13.433%	0.03748	0.988
EOC148_pOvaL4_DNA1	5273.876693432245	0.981	956.367	18.134%	297.417	19.844%	0.04422	0.973
EOC148_pOvaL5_DNA1	6498.883349850876	0.992	954.878	14.693%	238.316	12.577%	0.0346	0.989
EOC192_iOme1B_DNA2	678.8515152418059	0.865	398.237	58.663%	107.97	50.739%	0.37018	0.819
EOC192_iOme3A_DNA1	700.8106088235589	0.859	430.436	61.42%	114.44	51.68%	0.36073	0.812
EOC192_iOvaR1A_DNA1	959.0604771054909	0.928	409.059	42.652%	106.037	37.677%	0.22235	0.9
EOC192_pAsc1_DNA1	880.704633671309	0.906	427.708	48.564%	114.212	42.646%	0.23983	0.873
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.921	409.108	44.57%	107.483	39.286%	0.23593	0.892
EOC192_pOme2B_DNA2	964.0041714093117	0.93	400.521	41.548%	104.262	37.113%	0.19819	0.904
EOC192_pOvaR1A_DNA1	907.0493577400416	0.921	400.07	44.107%	105.187	39.359%	0.23029	0.891
EOC192_pOvaR1A_DNA3	917.0488345709969	0.921	410.487	44.762%	106.975	39.272%	0.23481	0.891
EOC192_pPer1A_DNA2	1118.8987001439978	0.938	423.769	37.874%	113.269	35.302%	0.18762	0.914
EOC192_pPer2B_DNA1	1389.994158932963	0.943	465.097	33.46%	135.138	36.78%	0.11708	0.921
EOC293_pAdnL1_DNA1	5997.693882801555	0.971	2065.467	34.438%	507.468	25.789%	0.11664	0.965
EOC293_pMes1_DNA2	6323.687079592864	0.977	1630.828	25.789%	456.966	22.364%	0.09956	0.972
EOC293_pOvaR1_DNA2	5265.661499924712	0.964	1852.564	35.182%	495.596	28.21%	0.11365	0.956
EOC372_iOme1_DNA1	3984.859400842834	0.99	645.724	16.204%	163.397	14.5%	0.03748	0.986
EOC372_iPer1_DNA1	2529.9188003744616	0.955	783.643	30.975%	218.286	30.802%	0.1047	0.937
EOC372_pPer1_DNA1	3149.8828697334707	0.975	786.261	24.962%	201.484	22.567%	0.07155	0.965
EOC523_pOme1_DNA2	2238.082215283781	0.932	938.096	41.915%	252.705	36.201%	0.17539	0.91
EOC523_pOvaR1_DNA2	2032.0425758051892	0.923	864.398	42.538%	241.523	38.568%	0.1985	0.896
EOC561_pPer1_DNA1	5091.689780166178	0.979	1429.426	28.074%	339.316	21.401%	0.10433	0.973
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.975	1279.855	29.129%	329.911	23.435%	0.08618	0.969
EOC63_pOme1_DNA1	13347.02152030531	0.976	3066.91	22.978%	886.177	21.754%	0.07924	0.968
EOC63_pOvaR1_DNA1	3820.96740499095	0.892	1464.853	38.337%	509.321	46.46%	0.15539	0.849
EOC667_pMes1_DNA1	4900.923479742949	0.984	1043.395	21.29%	281.593	18.603%	0.05096	0.979
EOC667_pOme1_DNA2	4290.0531489283885	0.973	1107.65	25.819%	321.237	23.588%	0.05899	0.966
EOC77_iOme1_DNA1	1344.485197327381	0.959	402.497	29.937%	111.433	29.67%	0.10515	0.943
EOC77_iOme2_DNA1	1241.484847886027	0.952	444.308	35.788%	113.111	30.591%	0.17797	0.935
EOC77_iPer1_DNA2	1395.5751736150082	0.964	449.097	32.18%	110.968	26.677%	0.12306	0.951
EOC77_pAsc1_DNA1	1092.642047587281	0.956	374.191	34.246%	93.807	29.404%	0.1405	0.94
EOC77_pOme1_DNA3	1279.433605987212	0.946	523.064	40.882%	124.469	32.577%	0.17707	0.926
EOC779_pOme1_DNA1	2035.9929527044942	0.974	540.688	26.556%	132.408	22.862%	0.08811	0.964
EOC779_pOvaL1_DNA1	4306.868665044061	0.965	1327.019	30.812%	381.438	27.186%	0.08535	0.956
