Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.998	220.0	7.983%	45.978	5.784%	0.01673	0.998
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.998	170.291	8.684%	37.813	6.69%	0.0157	0.997
EOC1022_pOme1_DNA1	884.8837764887545	0.983	197.408	22.309%	45.923	18.707%	0.06511	0.975
EOC1022_pPer1_DNA1	1358.826827879444	0.997	130.287	9.588%	27.893	7.526%	0.01493	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.998	125.316	7.808%	27.452	5.774%	0.01859	0.998
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.999	189.349	5.857%	43.025	4.308%	0.00773	0.999
EOC1067_pPerR1_DNA1	1501.7751190546387	0.998	130.065	8.661%	27.121	6.294%	0.01953	0.997
EOC1067_pTubL1_DNA1	2166.8040540479265	0.999	156.546	7.225%	32.777	5.229%	0.01314	0.998
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.999	201.817	6.513%	44.868	4.98%	0.01058	0.999
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.999	201.792	7.65%	43.278	5.547%	0.01715	0.998
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.999	288.127	6.523%	65.184	4.843%	0.01088	0.998
EOC124_pOvaR1_TR	4047.759470070756	0.999	241.399	5.964%	56.55	4.87%	0.00936	0.998
EOC133_pAsc1_DNA1	3492.8721079373286	0.999	218.574	6.258%	46.058	4.468%	0.01172	0.999
EOC133_pOme1_TR_DNA	3190.908324987377	0.999	235.743	7.388%	49.224	5.343%	0.01204	0.998
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	152.826	4.873%	32.479	3.5%	0.01033	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	317.642	4.41%	71.495	3.391%	0.00425	0.999
EOC148_pAdnL3_DNA1	6768.848232060547	1.0	296.65	4.383%	62.596	3.169%	0.00589	0.999
EOC148_pOvaL4_DNA1	5273.876693432245	0.999	317.422	6.019%	74.985	5.003%	0.00641	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	1.0	221.815	3.413%	52.05	2.747%	0.00297	1.0
EOC192_iOme1B_DNA2	678.8515152418059	0.997	69.25	10.201%	17.67	8.304%	0.0282	0.996
EOC192_iOme3A_DNA1	700.8106088235589	0.996	72.603	10.36%	19.813	8.947%	0.02623	0.995
EOC192_iOvaR1A_DNA1	959.0604771054909	0.998	79.585	8.298%	19.219	6.829%	0.01721	0.997
EOC192_pAsc1_DNA1	880.704633671309	0.996	99.338	11.279%	24.102	9.0%	0.02382	0.995
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.998	78.209	8.52%	16.107	5.887%	0.01678	0.998
EOC192_pOme2B_DNA2	964.0041714093117	0.999	51.068	5.297%	10.077	3.587%	0.01111	0.999
EOC192_pOvaR1A_DNA1	907.0493577400416	0.998	73.999	8.158%	17.171	6.425%	0.01696	0.997
EOC192_pOvaR1A_DNA3	917.0488345709969	0.997	81.43	8.88%	22.246	8.167%	0.01822	0.995
EOC192_pPer1A_DNA2	1118.8987001439978	0.998	87.813	7.848%	19.245	5.998%	0.01162	0.998
EOC192_pPer2B_DNA1	1389.994158932963	0.997	135.498	9.748%	30.482	8.296%	0.01522	0.996
EOC293_pAdnL1_DNA1	5997.693882801555	0.998	581.881	9.702%	144.41	7.339%	0.02338	0.997
EOC293_pMes1_DNA2	6323.687079592864	0.999	378.928	5.992%	91.642	4.485%	0.01333	0.999
EOC293_pOvaR1_DNA2	5265.661499924712	0.999	367.027	6.97%	81.069	4.615%	0.01253	0.999
EOC372_iOme1_DNA1	3984.859400842834	0.999	180.359	4.526%	42.054	3.732%	0.00637	0.999
EOC372_iPer1_DNA1	2529.9188003744616	0.997	232.485	9.189%	51.257	7.233%	0.01354	0.996
EOC372_pPer1_DNA1	3149.8828697334707	0.999	198.939	6.316%	44.227	4.954%	0.0095	0.998
EOC523_pOme1_DNA2	2238.082215283781	0.998	180.288	8.055%	43.785	6.272%	0.01127	0.998
EOC523_pOvaR1_DNA2	2032.0425758051892	0.997	177.366	8.728%	51.29	8.19%	0.01605	0.996
EOC561_pPer1_DNA1	5091.689780166178	0.997	461.02	9.054%	132.428	8.352%	0.02338	0.995
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.998	335.222	7.63%	85.455	6.07%	0.01454	0.998
EOC63_pOme1_DNA1	13347.02152030531	0.998	1049.987	7.867%	254.524	6.248%	0.0122	0.998
EOC63_pOvaR1_DNA1	3820.96740499095	0.997	313.234	8.198%	78.302	7.143%	0.01816	0.997
EOC667_pMes1_DNA1	4900.923479742949	1.0	235.433	4.804%	47.882	3.163%	0.00761	0.999
EOC667_pOme1_DNA2	4290.0531489283885	0.999	254.151	5.924%	52.104	3.826%	0.0103	0.999
EOC77_iOme1_DNA1	1344.485197327381	0.997	119.571	8.893%	29.038	7.732%	0.02012	0.996
EOC77_iOme2_DNA1	1241.484847886027	0.997	134.66	10.847%	30.202	8.168%	0.02597	0.996
EOC77_iPer1_DNA2	1395.5751736150082	0.998	114.061	8.173%	22.855	5.494%	0.01871	0.998
EOC77_pAsc1_DNA1	1092.642047587281	0.999	83.578	7.649%	17.225	5.399%	0.01293	0.998
EOC77_pOme1_DNA3	1279.433605987212	0.997	150.424	11.757%	33.367	8.733%	0.02414	0.996
EOC779_pOme1_DNA1	2035.9929527044942	0.997	200.408	9.843%	44.987	7.767%	0.02402	0.996
EOC779_pOvaL1_DNA1	4306.868665044061	0.999	319.875	7.427%	72.416	5.161%	0.0132	0.998
EOC779_pPer1_DNA1	3341.8731976264326	0.999	209.563	6.271%	47.935	4.681%	0.01109	0.999
