Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.998	254.783	9.245%	55.525	6.985%	0.02006	0.997
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.995	270.59	13.799%	59.671	10.557%	0.03163	0.993
EOC1022_pOme1_DNA1	884.8837764887545	0.984	191.103	21.596%	44.524	18.137%	0.05032	0.977
EOC1022_pPer1_DNA1	1358.826827879444	0.997	139.426	10.261%	29.963	8.085%	0.01747	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.996	198.689	12.38%	45.468	9.563%	0.02748	0.994
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.998	297.581	9.205%	68.891	6.897%	0.01767	0.997
EOC1067_pPerR1_DNA1	1501.7751190546387	0.998	141.214	9.403%	28.854	6.697%	0.0162	0.997
EOC1067_pTubL1_DNA1	2166.8040540479265	0.998	179.353	8.277%	38.71	6.176%	0.01255	0.998
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.998	241.057	7.779%	57.107	6.338%	0.01614	0.997
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.994	377.231	14.3%	89.438	11.464%	0.03625	0.991
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.999	334.343	7.569%	75.038	5.575%	0.01619	0.998
EOC124_pOvaR1_TR	4047.759470070756	0.998	353.378	8.73%	77.794	6.7%	0.0152	0.997
EOC133_pAsc1_DNA1	3492.8721079373286	0.999	200.585	5.743%	46.394	4.501%	0.00747	0.999
EOC133_pOme1_TR_DNA	3190.908324987377	0.999	223.023	6.989%	50.044	5.432%	0.00826	0.998
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	169.925	5.419%	37.414	4.032%	0.00726	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	375.513	5.213%	90.051	4.272%	0.00663	0.999
EOC148_pAdnL3_DNA1	6768.848232060547	0.999	322.64	4.767%	69.87	3.538%	0.00601	0.999
EOC148_pOvaL4_DNA1	5273.876693432245	0.999	291.769	5.532%	76.911	5.132%	0.00429	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	0.999	269.523	4.147%	62.22	3.284%	0.0043	0.999
EOC192_iOme1B_DNA2	678.8515152418059	0.993	98.021	14.439%	24.706	11.61%	0.03926	0.991
EOC192_iOme3A_DNA1	700.8106088235589	0.992	101.016	14.414%	28.643	12.935%	0.03163	0.989
