Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.999	157.0	5.697%	35.959	4.523%	0.01235	0.999
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.998	152.843	7.794%	35.252	6.237%	0.01479	0.998
EOC1022_pOme1_DNA1	884.8837764887545	0.984	186.171	21.039%	43.557	17.743%	0.05399	0.977
EOC1022_pPer1_DNA1	1358.826827879444	0.997	120.166	8.843%	28.204	7.61%	0.01678	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.999	101.11	6.3%	21.692	4.562%	0.01323	0.999
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.999	168.225	5.204%	38.97	3.902%	0.00685	0.999
EOC1067_pPerR1_DNA1	1501.7751190546387	0.998	123.178	8.202%	25.836	5.996%	0.0148	0.998
EOC1067_pTubL1_DNA1	2166.8040540479265	0.999	162.25	7.488%	33.024	5.268%	0.01195	0.998
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.999	208.663	6.733%	47.458	5.267%	0.01015	0.999
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.999	188.825	7.158%	42.345	5.428%	0.01296	0.998
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.999	226.788	5.134%	53.182	3.951%	0.00818	0.999
EOC124_pOvaR1_TR	4047.759470070756	0.999	242.665	5.995%	56.283	4.847%	0.00938	0.999
EOC133_pAsc1_DNA1	3492.8721079373286	1.0	141.158	4.041%	29.248	2.838%	0.00474	0.999
EOC133_pOme1_TR_DNA	3190.908324987377	0.999	136.049	4.264%	32.654	3.545%	0.00422	0.999
EOC133_pOvaL1_DNA1	3135.920383373419	1.0	95.027	3.03%	20.734	2.235%	0.00531	1.0
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	356.992	4.956%	78.182	3.709%	0.00536	0.999
EOC148_pAdnL3_DNA1	6768.848232060547	0.999	355.223	5.248%	73.526	3.723%	0.00744	0.999
EOC148_pOvaL4_DNA1	5273.876693432245	0.999	314.688	5.967%	72.018	4.805%	0.00649	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	1.0	265.36	4.083%	59.46	3.138%	0.00423	0.999
EOC192_iOme1B_DNA2	678.8515152418059	0.997	68.449	10.083%	16.656	7.827%	0.0255	0.996
EOC192_iOme3A_DNA1	700.8106088235589	0.997	60.16	8.584%	17.818	8.046%	0.01825	0.996
EOC192_iOvaR1A_DNA1	959.0604771054909	0.998	62.993	6.568%	15.624	5.551%	0.01253	0.998
EOC192_pAsc1_DNA1	880.704633671309	0.996	95.659	10.862%	24.123	9.007%	0.02247	0.995
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.999	64.999	7.081%	13.852	5.063%	0.01295	0.998
EOC192_pOme2B_DNA2	964.0041714093117	0.999	49.375	5.122%	9.949	3.541%	0.01032	0.999
EOC192_pOvaR1A_DNA1	907.0493577400416	0.999	57.567	6.347%	13.638	5.103%	0.01157	0.998
EOC192_pOvaR1A_DNA3	917.0488345709969	0.997	74.016	8.071%	20.055	7.362%	0.01494	0.996
