Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.997	281.499	10.215%	64.611	8.128%	0.01846	0.996
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.995	259.113	13.214%	57.74	10.216%	0.03128	0.993
EOC1022_pOme1_DNA1	884.8837764887545	0.984	183.538	20.741%	44.009	17.927%	0.04866	0.977
EOC1022_pPer1_DNA1	1358.826827879444	0.997	131.64	9.688%	28.962	7.815%	0.01701	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.989	316.672	19.732%	71.964	15.135%	0.05062	0.985
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.996	383.709	11.87%	88.231	8.833%	0.02267	0.995
EOC1067_pPerR1_DNA1	1501.7751190546387	0.995	205.62	13.692%	45.531	10.567%	0.02852	0.993
EOC1067_pTubL1_DNA1	2166.8040540479265	0.998	182.434	8.419%	40.602	6.477%	0.01434	0.997
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	341.401	11.017%	81.637	9.061%	0.02384	0.994
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.993	340.657	12.914%	90.95	11.658%	0.03503	0.991
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	412.953	9.349%	84.932	6.31%	0.01817	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	545.451	13.475%	125.735	10.829%	0.02807	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.999	221.721	6.348%	51.445	4.991%	0.00727	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	281.661	8.827%	67.388	7.315%	0.00986	0.996
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	144.237	4.6%	30.939	3.335%	0.00627	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	380.187	5.278%	95.475	4.529%	0.00695	0.999
EOC148_pAdnL3_DNA1	6768.848232060547	0.998	468.896	6.927%	121.989	6.176%	0.01151	0.997
EOC148_pOvaL4_DNA1	5273.876693432245	0.999	306.669	5.815%	79.596	5.311%	0.00539	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	0.999	401.869	6.184%	96.703	5.103%	0.00715	0.998
EOC192_iOme1B_DNA2	678.8515152418059	0.993	97.402	14.348%	25.81	12.129%	0.03626	0.991
EOC192_iOme3A_DNA1	700.8106088235589	0.991	108.195	15.439%	30.289	13.678%	0.03292	0.988
EOC192_iOvaR1A_DNA1	959.0604771054909	0.997	81.143	8.461%	20.021	7.114%	0.01717	0.997
EOC192_pAsc1_DNA1	880.704633671309	0.995	112.202	12.74%	26.651	9.951%	0.02638	0.993
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.998	78.197	8.519%	16.829	6.151%	0.01498	0.998
EOC192_pOme2B_DNA2	964.0041714093117	0.999	61.975	6.429%	12.605	4.487%	0.01212	0.999
EOC192_pOvaR1A_DNA1	907.0493577400416	0.998	74.545	8.218%	18.023	6.744%	0.01511	0.997
EOC192_pOvaR1A_DNA3	917.0488345709969	0.995	98.369	10.727%	25.864	9.495%	0.01973	0.994
EOC192_pPer1A_DNA2	1118.8987001439978	0.992	155.305	13.88%	41.423	12.91%	0.02694	0.988
EOC192_pPer2B_DNA1	1389.994158932963	0.992	196.134	14.11%	50.228	13.67%	0.03918	0.988
EOC293_pAdnL1_DNA1	5997.693882801555	0.999	319.237	5.323%	88.042	4.474%	0.00617	0.999
EOC293_pMes1_DNA2	6323.687079592864	0.999	461.352	7.296%	103.642	5.072%	0.01109	0.998
EOC293_pOvaR1_DNA2	5265.661499924712	0.999	281.601	5.348%	76.113	4.333%	0.00511	0.999
EOC372_iOme1_DNA1	3984.859400842834	0.998	350.61	8.799%	75.911	6.737%	0.01663	0.997
EOC372_iPer1_DNA1	2529.9188003744616	0.996	285.067	11.268%	62.265	8.786%	0.02337	0.995
EOC372_pPer1_DNA1	3149.8828697334707	0.998	241.473	7.666%	52.796	5.913%	0.0137	0.998
EOC523_pOme1_DNA2	2238.082215283781	0.992	360.595	16.112%	89.26	12.787%	0.0347	0.989
EOC523_pOvaR1_DNA2	2032.0425758051892	0.991	308.77	15.195%	86.976	13.889%	0.03597	0.988
EOC561_pPer1_DNA1	5091.689780166178	0.997	513.284	10.081%	126.943	8.006%	0.01907	0.996
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.998	380.458	8.659%	90.369	6.419%	0.01486	0.997
EOC63_pOme1_DNA1	13347.02152030531	0.989	2281.696	17.095%	602.247	14.784%	0.05024	0.985
EOC63_pOvaR1_DNA1	3820.96740499095	0.993	539.699	14.125%	126.897	11.575%	0.03387	0.991
EOC667_pMes1_DNA1	4900.923479742949	0.998	412.543	8.418%	98.375	6.499%	0.01567	0.997
EOC667_pOme1_DNA2	4290.0531489283885	0.997	456.826	10.648%	115.338	8.469%	0.01533	0.996
EOC77_iOme1_DNA1	1344.485197327381	0.994	180.605	13.433%	41.155	10.958%	0.03833	0.992
EOC77_iOme2_DNA1	1241.484847886027	0.986	239.639	19.303%	62.008	16.77%	0.0721	0.982
EOC77_iPer1_DNA2	1395.5751736150082	0.998	135.299	9.695%	27.345	6.574%	0.02564	0.997
EOC77_pAsc1_DNA1	1092.642047587281	0.998	88.921	8.138%	18.282	5.73%	0.01593	0.998
EOC77_pOme1_DNA3	1279.433605987212	0.993	177.577	13.879%	44.337	11.604%	0.03859	0.991
EOC779_pOme1_DNA1	2035.9929527044942	0.997	192.598	9.46%	42.719	7.376%	0.02185	0.996
EOC779_pOvaL1_DNA1	4306.868665044061	0.999	253.848	5.894%	52.132	3.716%	0.00853	0.999
EOC779_pPer1_DNA1	3341.8731976264326	1.0	93.322	2.793%	20.027	1.956%	0.00389	1.0
EOC863_pMes1_DNA1	1951.3409529659639	0.986	349.515	17.912%	94.972	16.509%	0.04392	0.982
EOC863_pOva1_DNA1	2745.2767122974183	0.993	392.902	14.312%	92.73	11.439%	0.0309	0.991
EOC879_p2Ome1_DNA1	2988.8681346949616	0.996	357.773	11.97%	79.563	9.215%	0.0229	0.995
EOC879_p2OvaL1_DNA1	6042.795099097448	0.997	550.26	9.106%	130.591	7.344%	0.01224	0.996
EOC879_p2TubL1_DNA1	5451.735982195487	0.998	429.395	7.876%	98.016	6.086%	0.00906	0.998
EOC914_iOme1_DNA1	3607.8482536879173	0.998	263.023	7.29%	60.752	5.843%	0.01389	0.998
EOC914_iOvaL1_DNA1	3498.768319600249	0.997	343.277	9.811%	81.635	8.062%	0.01596	0.995
EOC914_iPer1_DNA1	3392.7773257406498	0.999	189.383	5.582%	40.099	4.023%	0.0097	0.999
EOC984_pOme1_DNA1	1156.7593080244005	0.995	161.942	14.0%	34.999	10.488%	0.04669	0.992
EOC984_pPer1_DNA1	1155.7647656590032	0.996	146.595	12.684%	29.634	8.86%	0.03992	0.995
