Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.995	342.669	12.434%	78.267	9.845%	0.01963	0.993
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	277.78	14.166%	61.539	10.888%	0.03195	0.992
EOC1022_pOme1_DNA1	884.8837764887545	0.979	204.434	23.103%	50.008	20.371%	0.05591	0.97
EOC1022_pPer1_DNA1	1358.826827879444	0.997	124.789	9.184%	30.696	8.283%	0.01782	0.995
EOC1067_pOme1_DNA3	1604.881423102248	0.988	324.08	20.193%	73.948	15.553%	0.05182	0.984
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.995	435.517	13.472%	101.133	10.125%	0.02611	0.993
EOC1067_pPerR1_DNA1	1501.7751190546387	0.995	191.156	12.729%	45.527	10.566%	0.02801	0.993
EOC1067_pTubL1_DNA1	2166.8040540479265	0.998	175.311	8.091%	38.689	6.172%	0.0128	0.997
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	340.829	10.998%	83.413	9.258%	0.02303	0.994
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.993	344.19	13.048%	92.804	11.896%	0.035	0.99
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	418.567	9.476%	86.245	6.408%	0.01907	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	529.874	13.091%	127.746	11.002%	0.0245	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.998	255.293	7.309%	57.745	5.602%	0.01342	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	299.543	9.387%	71.654	7.778%	0.01675	0.996
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	210.774	6.721%	46.309	4.991%	0.01207	0.998
EOC148_pAdnL1_DNA1	7202.839296609127	0.998	556.569	7.727%	127.18	6.033%	0.01499	0.998
EOC148_pAdnL3_DNA1	6768.848232060547	0.998	566.089	8.363%	138.955	7.035%	0.0186	0.997
EOC148_pOvaL4_DNA1	5273.876693432245	0.998	444.112	8.421%	106.282	7.091%	0.01642	0.997
EOC148_pOvaL5_DNA1	6498.883349850876	0.997	565.762	8.706%	135.272	7.139%	0.01879	0.996
EOC192_iOme1B_DNA2	678.8515152418059	0.991	112.025	16.502%	29.101	13.676%	0.04309	0.988
EOC192_iOme3A_DNA1	700.8106088235589	0.985	127.292	18.164%	38.645	17.452%	0.04633	0.98
EOC192_iOvaR1A_DNA1	959.0604771054909	0.996	115.455	12.038%	25.941	9.217%	0.02661	0.994
EOC192_pAsc1_DNA1	880.704633671309	0.994	125.605	14.262%	29.695	11.088%	0.03173	0.992
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.996	111.129	12.107%	24.924	9.11%	0.02647	0.995
EOC192_pOme2B_DNA2	964.0041714093117	0.998	85.967	8.918%	18.058	6.428%	0.0214	0.997
EOC192_pOvaR1A_DNA1	907.0493577400416	0.996	102.77	11.33%	23.333	8.731%	0.02282	0.995
EOC192_pOvaR1A_DNA3	917.0488345709969	0.993	128.609	14.024%	31.787	11.669%	0.02939	0.991
EOC192_pPer1A_DNA2	1118.8987001439978	0.991	163.901	14.648%	41.925	13.067%	0.03303	0.988
EOC192_pPer2B_DNA1	1389.994158932963	0.991	208.643	15.01%	51.981	14.147%	0.04763	0.986
EOC293_pAdnL1_DNA1	5997.693882801555	0.998	567.195	9.457%	146.547	7.447%	0.01679	0.997
EOC293_pMes1_DNA2	6323.687079592864	0.998	496.592	7.853%	114.238	5.591%	0.01184	0.998
EOC293_pOvaR1_DNA2	5265.661499924712	0.998	393.796	7.479%	112.323	6.394%	0.01031	0.998
EOC372_iOme1_DNA1	3984.859400842834	0.996	342.794	8.602%	96.514	8.565%	0.02464	0.995
EOC372_iPer1_DNA1	2529.9188003744616	0.996	307.787	12.166%	66.937	9.445%	0.02964	0.994
EOC372_pPer1_DNA1	3149.8828697334707	0.997	291.726	9.261%	69.77	7.814%	0.02515	0.996
EOC523_pOme1_DNA2	2238.082215283781	0.984	472.248	21.101%	124.835	17.883%	0.06128	0.979
EOC523_pOvaR1_DNA2	2032.0425758051892	0.979	455.754	22.428%	129.857	20.737%	0.07102	0.972
EOC561_pPer1_DNA1	5091.689780166178	0.993	758.018	14.887%	182.816	11.53%	0.04432	0.991
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.996	570.671	12.988%	129.465	9.196%	0.0303	0.995
EOC63_pOme1_DNA1	13347.02152030531	0.987	2445.6	18.323%	666.945	16.373%	0.04453	0.982
EOC63_pOvaR1_DNA1	3820.96740499095	0.994	476.126	12.461%	117.504	10.719%	0.02773	0.992
EOC667_pMes1_DNA1	4900.923479742949	0.996	504.821	10.301%	137.578	9.089%	0.03103	0.995
