Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.976	685.525	24.876%	174.323	21.929%	0.07192	0.966
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.977	539.579	27.516%	121.634	21.52%	0.08469	0.968
EOC1022_pOme1_DNA1	884.8837764887545	0.85	457.316	51.681%	136.716	55.693%	0.24074	0.788
EOC1022_pPer1_DNA1	1358.826827879444	0.969	360.459	26.527%	95.205	25.689%	0.06165	0.956
EOC1067_pOme1_DNA3	1604.881423102248	0.985	328.824	20.489%	81.741	17.192%	0.05002	0.98
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.981	794.022	24.563%	202.996	20.324%	0.06264	0.976
EOC1067_pPerR1_DNA1	1501.7751190546387	0.992	216.147	14.393%	53.587	12.437%	0.04414	0.989
EOC1067_pTubL1_DNA1	2166.8040540479265	0.987	400.069	18.464%	99.837	15.927%	0.04145	0.982
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.992	498.65	16.091%	119.069	13.216%	0.06038	0.988
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.969	731.002	27.711%	191.598	24.559%	0.08795	0.958
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.99	760.081	17.208%	197.95	14.707%	0.03181	0.986
EOC124_pOvaR1_TR	4047.759470070756	0.989	696.624	17.21%	172.434	14.851%	0.02973	0.985
EOC133_pAsc1_DNA1	3492.8721079373286	0.995	434.952	12.453%	102.601	9.954%	0.03415	0.993
EOC133_pOme1_TR_DNA	3190.908324987377	0.992	497.986	15.606%	117.094	12.711%	0.03741	0.989
EOC133_pOvaL1_DNA1	3135.920383373419	0.995	420.436	13.407%	94.435	10.178%	0.03628	0.993
EOC148_pAdnL1_DNA1	7202.839296609127	0.995	861.236	11.957%	217.603	10.322%	0.01646	0.993
EOC148_pAdnL3_DNA1	6768.848232060547	0.996	758.478	11.205%	182.436	9.237%	0.01945	0.994
EOC148_pOvaL4_DNA1	5273.876693432245	0.991	727.771	13.8%	206.365	13.769%	0.01885	0.987
EOC148_pOvaL5_DNA1	6498.883349850876	0.997	586.69	9.028%	156.003	8.233%	0.01418	0.995
EOC192_iOme1B_DNA2	678.8515152418059	0.953	252.171	37.147%	64.687	30.399%	0.11957	0.938
