Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.994	369.311	13.401%	88.181	11.093%	0.02328	0.992
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	291.688	14.875%	65.251	11.545%	0.03516	0.991
EOC1022_pOme1_DNA1	884.8837764887545	0.975	228.172	25.786%	55.18	22.478%	0.06415	0.964
EOC1022_pPer1_DNA1	1358.826827879444	0.994	142.331	10.475%	39.229	10.585%	0.02344	0.992
EOC1067_pOme1_DNA3	1604.881423102248	0.988	333.896	20.805%	74.614	15.693%	0.05787	0.983
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.995	478.299	14.796%	101.813	10.193%	0.03721	0.993
EOC1067_pPerR1_DNA1	1501.7751190546387	0.993	210.981	14.049%	50.691	11.764%	0.03568	0.99
EOC1067_pTubL1_DNA1	2166.8040540479265	0.994	273.91	12.641%	70.414	11.233%	0.0233	0.991
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	357.16	11.525%	80.821	8.97%	0.02319	0.995
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.991	447.572	16.967%	106.835	13.694%	0.03587	0.987
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	404.916	9.167%	85.387	6.344%	0.01768	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	517.424	12.783%	126.724	10.914%	0.02498	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.998	284.937	8.158%	63.732	6.183%	0.01779	0.997
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	322.94	10.121%	74.938	8.135%	0.0206	0.995
EOC133_pOvaL1_DNA1	3135.920383373419	0.998	255.103	8.135%	56.752	6.117%	0.01885	0.997
EOC148_pAdnL1_DNA1	7202.839296609127	0.997	684.178	9.499%	167.874	7.963%	0.0148	0.996
EOC148_pAdnL3_DNA1	6768.848232060547	0.997	697.545	10.305%	161.055	8.154%	0.01841	0.996
EOC148_pOvaL4_DNA1	5273.876693432245	0.997	443.745	8.414%	106.114	7.08%	0.01291	0.996
EOC148_pOvaL5_DNA1	6498.883349850876	0.997	581.747	8.951%	135.852	7.169%	0.0148	0.997
EOC192_iOme1B_DNA2	678.8515152418059	0.987	125.318	18.46%	33.964	15.961%	0.0504	0.984
EOC192_iOme3A_DNA1	700.8106088235589	0.978	152.545	21.767%	46.381	20.945%	0.0606	0.971
EOC192_iOvaR1A_DNA1	959.0604771054909	0.995	123.308	12.857%	27.663	9.829%	0.02891	0.994
EOC192_pAsc1_DNA1	880.704633671309	0.994	115.61	13.127%	29.421	10.986%	0.02946	0.992
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.996	119.395	13.007%	26.816	9.801%	0.02857	0.994
EOC192_pOme2B_DNA2	964.0041714093117	0.998	90.52	9.39%	19.318	6.876%	0.0222	0.997
EOC192_pOvaR1A_DNA1	907.0493577400416	0.996	110.371	12.168%	25.298	9.466%	0.0257	0.994
EOC192_pOvaR1A_DNA3	917.0488345709969	0.992	139.656	15.229%	34.135	12.531%	0.03296	0.99
EOC192_pPer1A_DNA2	1118.8987001439978	0.991	161.694	14.451%	42.68	13.302%	0.02709	0.988
EOC192_pPer2B_DNA1	1389.994158932963	0.989	223.614	16.087%	55.403	15.079%	0.05141	0.985
EOC293_pAdnL1_DNA1	5997.693882801555	0.997	681.363	11.36%	170.989	8.69%	0.02246	0.996
EOC293_pMes1_DNA2	6323.687079592864	0.998	567.183	8.969%	129.971	6.361%	0.01206	0.997
EOC293_pOvaR1_DNA2	5265.661499924712	0.998	425.7	8.084%	117.142	6.668%	0.01094	0.997
EOC372_iOme1_DNA1	3984.859400842834	0.997	341.064	8.559%	89.252	7.921%	0.02009	0.996
EOC372_iPer1_DNA1	2529.9188003744616	0.996	294.196	11.629%	63.568	8.97%	0.02547	0.994
EOC372_pPer1_DNA1	3149.8828697334707	0.997	287.632	9.132%	68.892	7.716%	0.02155	0.996
EOC523_pOme1_DNA2	2238.082215283781	0.966	653.685	29.207%	181.12	25.946%	0.09496	0.955
EOC523_pOvaR1_DNA2	2032.0425758051892	0.954	665.845	32.767%	187.03	29.866%	0.11487	0.939
EOC561_pPer1_DNA1	5091.689780166178	0.992	849.07	16.676%	200.813	12.666%	0.05554	0.99
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.996	599.529	13.645%	133.187	9.461%	0.03201	0.995
EOC63_pOme1_DNA1	13347.02152030531	0.987	2427.726	18.189%	670.24	16.453%	0.04294	0.982
EOC63_pOvaR1_DNA1	3820.96740499095	0.995	416.073	10.889%	105.077	9.585%	0.03812	0.994
