Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.995	359.336	13.039%	83.433	10.495%	0.02067	0.992
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	285.151	14.541%	63.204	11.182%	0.03179	0.992
EOC1022_pOme1_DNA1	884.8837764887545	0.979	203.411	22.987%	49.791	20.283%	0.05661	0.971
EOC1022_pPer1_DNA1	1358.826827879444	0.997	127.655	9.395%	30.587	8.253%	0.01778	0.995
EOC1067_pOme1_DNA3	1604.881423102248	0.989	317.176	19.763%	71.951	15.133%	0.04999	0.985
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.996	408.066	12.623%	93.988	9.41%	0.02408	0.994
EOC1067_pPerR1_DNA1	1501.7751190546387	0.995	191.343	12.741%	45.316	10.517%	0.0278	0.993
EOC1067_pTubL1_DNA1	2166.8040540479265	0.998	169.48	7.822%	36.926	5.891%	0.01247	0.998
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	328.416	10.598%	80.888	8.978%	0.02227	0.995
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.992	357.354	13.547%	97.448	12.491%	0.0362	0.989
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	410.959	9.304%	85.431	6.347%	0.0179	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.993	553.077	13.664%	134.573	11.59%	0.02573	0.991
EOC133_pAsc1_DNA1	3492.8721079373286	0.998	260.103	7.447%	61.467	5.963%	0.01356	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	318.75	9.989%	76.088	8.26%	0.01767	0.995
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	181.928	5.801%	39.605	4.269%	0.01034	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.998	569.117	7.901%	127.418	6.044%	0.01556	0.998
EOC148_pAdnL3_DNA1	6768.848232060547	0.998	572.628	8.46%	135.852	6.878%	0.01795	0.997
EOC148_pOvaL4_DNA1	5273.876693432245	0.998	449.204	8.518%	106.104	7.079%	0.01669	0.997
EOC148_pOvaL5_DNA1	6498.883349850876	0.997	581.873	8.953%	136.923	7.226%	0.01936	0.996
EOC192_iOme1B_DNA2	678.8515152418059	0.992	104.051	15.328%	27.679	13.007%	0.03977	0.989
EOC192_iOme3A_DNA1	700.8106088235589	0.986	123.461	17.617%	37.088	16.749%	0.04377	0.982
EOC192_iOvaR1A_DNA1	959.0604771054909	0.996	114.572	11.946%	25.566	9.084%	0.02648	0.995
EOC192_pAsc1_DNA1	880.704633671309	0.994	120.089	13.636%	28.263	10.553%	0.0299	0.993
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.996	109.27	11.904%	24.378	8.91%	0.02575	0.995
EOC192_pOme2B_DNA2	964.0041714093117	0.998	85.06	8.824%	17.59	6.261%	0.02042	0.997
EOC192_pOvaR1A_DNA1	907.0493577400416	0.996	101.193	11.156%	22.864	8.555%	0.02225	0.995
